a lot of,viel
abschneiden,cut down
"Abwasch
Wäsche",washing-up
air-condition,klimatisieren
albern,silliest
although,obwohl
apology,Entschuldigung
appropriate,angemessen
arbeiten an,work on 
astonished,verwundert
auf etwas hinweisen,pointed out
"aufholen
sich auf den neuesten Stand bringen",catch up
aufspüren,search out
"ausfindig machen
",search out
"ausgraben
ausbuddeln
herausfinden",dig up
"Aussprechen
sich äußern",spoke out
austricksen,swindle
Auto-Capitalization,automatische Großschreibung
automatische Großschreibung,Auto-Capitalization
bald hear,Glatze
bangs,Ponny
barking,Bellen
bedeutet,means
beruhigt,calmed
bill,"Rechnung
Gesetzentwurf
Schein"
braying,schreiend
break down,zusammenbrechen
busker,Straßenmusikant
calmed,beruhigt
camrades,Kameraden
carried up,"hinaufgetragen
"
carve,schnitzen
catch up,"aufholen
sich auf den neuesten Stand bringen"
catch up,aufholen
"cemetery
grave yard",Friedhof
chase up,nachhaken
cheetah,Gepard
chop down,"fällen
schnippeln"
clues,Hinweise
come up,aufkommen
complain,beschweren
comprehensible,verständlich
confident,selbstsicher
consumerism,Konsum
croaking,Quaken (Frosch)
"crowing
growling",Knurren
cry,weinen
cut down,abhauen
cut down,reduzieren
dadurch,thereby
dairy,Milchprodukte
department store,Kaufhaus
descend,abkomme
diary,Tagebuch
dig up,"ausgraben
ausbuddeln
herausfinden"
distinct,deutlich
donkey,Esel
durchgehen ,go through
"durchgehend
","throughout
"
"eintippen
",type down
establishment,"Einrichtung
Standort"
exploit,ausnutzen
faithfully,treu
fall behind,"zurückfallen
"
fall out,ausfallen
fan,Ventilator
"fällen
schnippeln",chop down
"gefangen
",trapped
Geräusch,noise
go through,durchgehen 
grave,Grab
"gruselig
",scary
hangover,Kater
haste,Eile
healing,"Heilen
Heilung"
"Heilen
Heilung",healing
hide,verstecken
"hinaufgetragen
",carried up
Hinweise,clues
hissing,Zischen
Hochwerfen,stossing
humble,bescheiden
hut (English),Hütte
ice ring,Eisstadion
ice-skating,Schlittschuhlauf
in a hurry,in Eile
In my view,Meiner Meinung nach
in Risiko bringen,Jeopard
incident,Vorfall
indeed,in der Tat
issue,Problem
javelin throw,Speerwurf
jeopard,in Risiko bringen
jewellery,Schmuck
Kameraden,camrades
keep up,"mithalten
"
kind of way,irgendwie
komisch,odd
laggy,verzögert
leather,Leder
leave out,"auslassen
"
lighting,Blitz
look after,"kümmern
betreuen
versorgen"
look into,"untersuchen
"
look out,Vorsicht
"lässt aus
",leaves out
mad,wütend
means,bedeutet
meowing,Mauzen
"mithalten
",keep up
mooing,Muhen
moved up,"vorgerückt
"
muscular,muskulös
necessary,notwendig
"Neffe
",nephew
neither,weder
nephew,"Neffe
"
Nichte,"niece
"
"niece
",Nichte
niederschreiben,write down
niemand bekommt mit,nobody notice
nobody notice,niemand bekommt mit
noise,Geräusch
odd,"komisch
seltsam"
paws,Pfoten
pedestrians,Fußgänger
perhaps,vielleicht
persuaded,überzeugt
pointed out,auf etwas hinweisen
pole,Stange
prey,beute
progress,Fortschritt
quacking,Quaken (Ente)
receive,erhalten
restrict,einschränken
roarling,Brüllen
rooster,Hahn
ruin,Ruine
scary,"gruselig
"
search out,aufspüren
search out,"ausfindig machen
"
shipment,Lieferung
shirtless,oberkörperfrei
shoplifting,Ladendiebstahl
should,sollte
shout off,abschreiben
shuts down,schalted ab
"sich kümmern um
betreuen
versorgen",look after
silliest,albern
sincerely,"aufrichtig
ehrlich"
sit legs crossed,im Schneidersitz sitzen
skeleton,Skelett
slice down,"zerschneiden
"
snake,Schlange
spectacled,Bebrillt
Speerwurf,javelin throw
spoke out,"Aussprechen
sich äußern"
squeaking,quitschend
staff,Personal
Stange,pole
stossing,werfen (hoch)
suggestion,Vorschlag
suitable,geeignet
swindle,austricksen
take after,"ähneln
nach jemandem kommen"
tambourine,Tamburin
tanned skin,gebräunte Haut
thereby,dadurch
"throughout
","durchgehend
"
throw,werfen
throw away,wegwerfen
throws out,"wirft weg
"
thunder,Donner
thus,somit
to ban,verbieten
told,erzählte
tons,"Tonnen
Mengen"
traffic,verkehr
trapped,"gefangen
"
type down,"eintippen
"
"untersuchen
",look into
upholstery,Polsterung
upside down,kopfüber
verwundert,astonished
"vorgerückt
",moved up
Vorsicht,look out
voucher,Gutschein
washing-up,"Abwasch
Wäsche"
wegwerfen,throw away
"wirft weg
",throws out
wisdom,Weisheit
work on ,arbeiten an
worst,schlimmste
wrist,Handgelenk
write down,niederschreiben
wütend,"mad
angry"
"zerschneiden
",slice down
"zurückfallen
",fall behind
zusammenbrechen,break down
"ähneln
nach jemandem kommen",take after
