(Mess-)Verhältnis,ratio
abbreviations,Abkürzungen
Abkürzungen,abbreviations
Abwechslung,variety
actually,eigentlich
admit,zugeben
advice,Rat
all clear,Alles klar
allerbeste,"very best
"
Alles klar,all clear
Allgemeinwissen,general knowledge
an apprenticeship,eine Ausbildung
angefordert,requested
anstelle,instead
as well,auch
auch,"as well
also"
aufgeben,give up
Ausbildung,apprenticeship
Ausdauer,perseverance
"ausgehen
versiegen
zur Neige gehen
",run out
barely,gerademal
beaver,Biber
became,wurde
Befördern,promote
Belegung,occupancy
Biber,beaver
bis,until
Blackboard,Tafel (kreidetafel)
blackmail,erpressen
bought,gekauft
Breakthrough,Durchbruch
broken,kaputt
"buchstäblich
wortwörtlich",literally
bulky,sperrig
"but rather
but instead",sondern
carry,tragen
cassette,Kasette
caused,verursacht
Chemie,Chemistry
Chemistry,Chemie
classmates,Klassenkameraden
come round,vorbeikommen
computer science,Informatik
concede,einräumen
confess,"gestehen
"
crow,Krähe
crowded,überfüllt
curl,Kringel
daily,täglich
darauf bestehen,Insist on
das Handeln,the Action
demographics,Demographie
Demographie,demographics
desired,erwünscht
Durchbruch,Breakthrough
Earphone,Kopfhörer (verbunden)
earthworm,Regenwurm
economy,Wirtschaft
eigentlich,actually
einreichen,submit
Einrichtung (Möbel),furniture
einräumen,concede
Einwohner,inhabitants
Einwohneranzahl,population
embarrassing,peilich
"enttäuschen
",let down
erpressen,blackmail
erwünscht,desired
far,weit
fond of,"gern haben
"
for all I care,meinetwegen
forget about,vergessen
Frau,woman
furniture,Einrichtung
gekauft,bought
general knowledge,Allgemeinwissen
gerademal,barely
"gern haben
",fond of
Gesellschaft,society
"gestehen
",confess
gewitter,thunderstorm
give up,aufgeben
glücklich,lucky
goal,Ziel
headphones,Kopfhörer (einzeln)
headset,Sprechgarnitur
horseshoe,Hufeisen
Hufeisen,horseshoe
Humusboden,topsoil
immediately,"unmittelbar
unverzüglich"
infant,Säugling
Informatik,computer science
inhabitants,Einwohner
Insist on,darauf bestehen
installment,Rate (finanziell)
instead,anstelle
involved,involviert
involviert,involved
itchy,juckend
juckend,itchy
kaputt,broken
Kasette,cassette
keep up,weitermachen
kettle,Wasserkocher
Klassenkameraden,classmates
Kopfhörer (einzeln),headphones
Kopfhörer (verbunden),Earphone
Kringel,curl
Krähe,crow
lack of,"Mangel an
"
lass,let
Lautsprecher,speaker
"learning style
learning preferences",Lerntyp
Lerntyp,"learning style
learning preferences"
let,lass
let down,"enttäuschen
"
literally,"buchstäblich
wortwörtlich"
look for,"suchen nach
"
lucky,glücklich
man,Mann
"Mangel an
",lack of
Mann,man
"marmot
woodchuck",Murmeltier
meinetwegen,for all I care
men,Männer
Murmeltier,"marmot
woodchuck"
Männer,men
nahezu,nearly
nearly,nahezu
occupancy,Belegung
peilich,embarrassing
perseverance,Ausdauer
pesticides,Pestizide
Pestizide,pesticides
population,Einwohneranzahl
pride,Stolz
"Programierer
",programmer
programmer,"Programierer
"
promote,Befördern
public relations,Öffentlichsarbeit
"quota
rate",Rate
Rat,advice
Rate,"quota
rate"
Rate (finanziell),installment
ratio,Verhältnis
raw,roh
Regenwurm,earthworm
rely on,"sich verlassen auf
"
requested,angefordert
reverse,umkehren
Rheinfolge,Rhine sequence
Rhine sequence,Rheinfolge
roh,raw
run out,"ausgehen
versiegen
zur Neige gehen
"
räumlich,spatial
scheinbar,suggest
Schiff,ship
Schildkröte,turtle
Schlaganfall,stroke
ship,Schiff
"sich verlassen auf
",rely on
society,Gesellschaft
sondern,"but rather
but instead"
spatial,räumlich
speaker,Lautsprecher
sperrig,bulky
Sprechgarnitur,headset
Stolz,pride
stroke,Schlaganfall
submit,einreichen
"suchen nach
",look for
suggest,"scheinbar
annehmen"
Säugling,infant
Tafel (kreidetafel),Blackboard
the Action,das Handeln
thunderstorm,gewitter
topsoil,Humusboden
tragen,carry
turtle,Schildkröte
täglich,daily
umkehren,reverse
"unmittelbar
unverzüglich",immediately
unmittelbar nächste,very next
until,bis
variety,Abwechslung
vergessen,forget about
verursacht,caused
"very best
",allerbeste
very next,unmittelbar nächste
vorbeikommen,come round
Wasserkocher,kettle
weit,far
weitermachen,keep up
Wirtschaft,economy
woman,Frau
wurde,became
Ziel,goal
zugeben,admit
Öffentlichkeitsarbeit,Public relations
überfüllt,crowded
