bedenklich,"worrying"
Rückschritt,"setback"
auflegen,"to hang up"
transaktionell,"transactional"
Klopapier,"toilet paper"
Transkription,"transcription"
dergleichen,"the like"
Anarchie,"anarchy"
Weltgeschehen,"world events"
Erklärung,"explanation"
Presse,"press"
Schmiede,"forge"
Galone,"gallon"
Prägung,"coinage"
leihen,"to lend"
Kanne,"jug"
unauffällig,"inconspicuous"
dämpfen,"to dampen"
Eichhörnchen,"squirrel"
klotzen,"to go all out"
Sträfling,"convict"
Glanz,"shine"
Konsens,"consensus"
Erregung,"excitement"
Haargel,"hair gel"
Konformität,"conformity"
Präzedenzfall,"precedent"
Spatz,"sparrow"
Hosenbund,"waistband"
etwas auszusprechen,"to speak out"
entziffern,"to decipher"
Seidenstraße,"Silk Road"
Münzprägeanstalt,"mint"
Heckruder,"stern rudder"
Verbraucher,"consumer"
Wachs,"wax"
Anspannung,"tension"
Staatsanwaltschaft,"public prosecutor's office"
Waschbär,"raccoon"
antik,"antique"
kentern,"to capsize"
steuern,"to steer"
wohlhabend,"wealthy"
Laubbaum,"deciduous tree"
befördern,"to promote"
Impuls,"impulse"
Männchen,"little man"
Balade,"ballad"
komplementär,"complementary"
Lachs,"salmon"
Elster,"magpie"
Lebensgrundlage,"livelihood"
Stammbaum,"family tree"
Kohlmeise,"great tit"
Gattin,"wife"
Grizzlybär,"grizzly bear"
Kontinentalsockel,"continental shelf"
sauer,"sour"
versteift,"stiffened"
Milbe,"mite"
fabelhaft,"fabulous"
Sicherheitsüberprüfung,"security check"
Nadel,"needle"
verflossen,"elapsed"
ruinieren,"to ruin"
bewegt mich dazu,"moves me to"
Konnektom,"connectome"
einsickern,"to seep in"
an Bord sein,"to be on board"
Aussprache,"pronunciation"
Gischt,"spray"
Beeinträchtigung,"impairment"
Schuss,"shot"
Abzocke,"rip-off"
kompliziert,"complicated"
Blaumeise,"blue tit"
Aktien,"stocks"
Treppe,"stairs"
krass,"extreme"
Präzesion der Erdachse,"precession of the Earth's axis"
Pflock,"stake"
allmählich,"gradually"
Sockel,"pedestal"
Datenerhebung,"data collection"
eloquent,"eloquent"
schrubben,"to scrub"
komplex,"complex"
Volksrepublik,"people's republic"
polieren,"to polish"
darlegen,"to explain"
Aktionär,"shareholder"
Treppenstufen,"steps"
einengen,"to narrow"
Domino,"domino"
Strebe,"strut"
schmieden,"to forge"
Rasterelektronenmikroskop,"scanning electron microscope"
Einspruch,"objection"
Rückblick,"review"
Walnuss,"walnut"
worrying,"bedenklich"
setback,"Rückschritt"
to hang up,"auflegen"
transactional,"transaktionell"
toilet paper,"Klopapier"
transcription,"Transkription"
the like,"dergleichen"
anarchy,"Anarchie"
world events,"Weltgeschehen"
explanation,"Erklärung"
press,"Presse"
forge,"Schmiede"
gallon,"Galone"
coinage,"Prägung"
to lend,"leihen"
jug,"Kanne"
inconspicuous,"unauffällig"
to dampen,"dämpfen"
squirrel,"Eichhörnchen"
to go all out,"klotzen"
convict,"Sträfling"
shine,"Glanz"
consensus,"Konsens"
excitement,"Erregung"
hair gel,"Haargel"
conformity,"Konformität"
precedent,"Präzedenzfall"
sparrow,"Spatz"
waistband,"Hosenbund"
to speak out,"etwas auszusprechen"
to decipher,"entziffern"
Silk Road,"Seidenstraße"
mint,"Münzprägeanstalt"
stern rudder,"Heckruder"
consumer,"Verbraucher"
wax,"Wachs"
tension,"Anspannung"
public prosecutor's office,"Staatsanwaltschaft"
raccoon,"Waschbär"
antique,"antik"
to capsize,"kentern"
to steer,"steuern"
wealthy,"wohlhabend"
deciduous tree,"Laubbaum"
to promote,"befördern"
impulse,"Impuls"
little man,"Männchen"
ballad,"Balade"
complementary,"komplementär"
salmon,"Lachs"
magpie,"Elster"
livelihood,"Lebensgrundlage"
family tree,"Stammbaum"
great tit,"Kohlmeise"
wife,"Gattin"
grizzly bear,"Grizzlybär"
continental shelf,"Kontinentalsockel"
sour,"sauer"
stiffened,"versteift"
mite,"Milbe"
fabulous,"fabelhaft"
security check,"Sicherheitsüberprüfung"
needle,"Nadel"
elapsed,"verflossen"
to ruin,"ruinieren"
moves me to,"bewegt mich dazu"
connectome,"Konnektom"
to seep in,"einsickern"
to be on board,"an Bord sein"
pronunciation,"Aussprache"
spray,"Gischt"
impairment,"Beeinträchtigung"
shot,"Schuss"
rip-off,"Abzocke"
complicated,"kompliziert"
blue tit,"Blaumeise"
stocks,"Aktien"
stairs,"Treppe"
extreme,"krass"
precession of the Earth's axis,"Präzesion der Erdachse"
stake,"Pflock"
gradually,"allmählich"
pedestal,"Sockel"
data collection,"Datenerhebung"
eloquent,"eloquent"
to scrub,"schrubben"
complex,"komplex"
people's republic,"Volksrepublik"
to polish,"polieren"
to explain,"darlegen"
shareholder,"Aktionär"
steps,"Treppenstufen"
to narrow,"einengen"
domino,"Domino"
strut,"Strebe"
to forge,"schmieden"
scanning electron microscope,"Rasterelektronenmikroskop"
objection,"Einspruch"
review,"Rückblick"
walnut,"Walnuss"
