Schulden,"debts"
radioaktiver Ausfall,"radioactive fallout"
Sprengkopf,"warhead"
vielseitig,"versatile"
Unpässlichkeit,"indisposition"
Sensor,"sensor"
Klobürste,"toilet brush"
bleibt,"remains"
bekümmern,"worry"
Schwärmer,"enthusiast"
Lawine,"avalanche"
blenden,"dazzle"
umstände,"circumstances"
Tiegel,"crucible"
Büroklammer,"paper clip"
Kompendium,"compendium"
Eruptionssäule,"eruption column"
profund,"profound"
rastlos,"restless"
beamen,"beam"
grell,"garish"
bezugslos,"unrelated"
mechanische Schwungraduhr,"mechanical flywheel clock"
Schifffahrt,"shipping"
Lendenschutz,"loincloth"
Fragender,"questioner"
dienen,"serve"
Kanonenrohr,"gun barrel"
über alle maßen,"beyond all measure"
dozieren,"lecture"
Amputation,"amputation"
stickig,"stuffy"
Trinkgeld,"tip"
Zikade,"cicada"
verzerrt,"distorted"
makellos,"flawless"
konturlos,"shapeless"
beipflichten,"agree"
Scheitel,"parting"
Kartoffelpuffer,"potato pancake"
Quirl,"whisk"
Sackgasse,"dead end"
Zeichen,"sign"
Kopflampe,"headlamp"
Gefilde,"fields"
Kauderwelsch,"gibberish"
Saugnapf,"suction cup"
magen,"stomach"
indigniert,"indignant"
Ferse,"heel"
Schalthebel,"gear lever"
Preservieren,"preserve"
Gericht,"court"
Tacho,"speedometer"
Gullydeckel,"manhole cover"
Tentakel,"tentacle"
anwendbar,"applicable"
Brandung,"surf"
Zweisamkeit,"togetherness"
undankbar,"ungrateful"
Zinsen,"interest"
abermals,"again"
Zweck,"purpose"
Phlegmatismus,"phlegmatism"
Rigidität,"rigidity"
in Bälde,"soon"
Trog,"trough"
Unrat,"garbage"
Halbinsel,"peninsula"
auslutschen,"suck out"
Narr,"fool"
imprägnieren,"impregnate"
rezitieren,"recite"
verköstigen,"treat"
Fressnapf,"feeding bowl"
beeindruckt,"impressed"
Zeitungsartikel,"newspaper article"
Abraumhalde,"spoil heap"
Aufschlag,"surcharge"
Muttersprachler,"native speaker"
Kniescheibe,"kneecap"
Konglomerat,"conglomerate"
entsinnen,"remember"
stroll,"stroll"
Flügelschlagen,"wing beat"
Wanne,"tub"
flehen,"plead"
Astloch,"knot hole"
Betracht,"consideration"
vehement,"vehement"
Mahnung,"reminder"
Lymphe,"lymph"
vorherbestimmt,"predetermined"
Ausbruch,"outbreak"
Scheidung,"divorce"
annehmen,"assume"
Vermutung,"assumption"
belohnend,"rewarding"
überschreiten,"exceed"
streng,"strict"
debts,"Schulden"
radioactive fallout,"radioaktiver Ausfall"
warhead,"Sprengkopf"
versatile,"vielseitig"
indisposition,"Unpässlichkeit"
sensor,"Sensor"
toilet brush,"Klobürste"
remains,"bleibt"
worry,"bekümmern"
enthusiast,"Schwärmer"
avalanche,"Lawine"
dazzle,"blenden"
circumstances,"umstände"
crucible,"Tiegel"
paper clip,"Büroklammer"
compendium,"Kompendium"
eruption column,"Eruptionssäule"
profound,"profund"
restless,"rastlos"
beam,"beamen"
garish,"grell"
unrelated,"bezugslos"
mechanical flywheel clock,"mechanische Schwungraduhr"
shipping,"Schifffahrt"
loincloth,"Lendenschutz"
questioner,"Fragender"
serve,"dienen"
gun barrel,"Kanonenrohr"
beyond all measure,"über alle maßen"
lecture,"dozieren"
amputation,"Amputation"
stuffy,"stickig"
tip,"Trinkgeld"
cicada,"Zikade"
distorted,"verzerrt"
flawless,"makellos"
shapeless,"konturlos"
agree,"beipflichten"
parting,"Scheitel"
potato pancake,"Kartoffelpuffer"
whisk,"Quirl"
dead end,"Sackgasse"
sign,"Zeichen"
headlamp,"Kopflampe"
fields,"Gefilde"
gibberish,"Kauderwelsch"
suction cup,"Saugnapf"
stomach,"magen"
indignant,"indigniert"
heel,"Ferse"
gear lever,"Schalthebel"
preserve,"Preservieren"
court,"Gericht"
speedometer,"Tacho"
manhole cover,"Gullydeckel"
tentacle,"Tentakel"
applicable,"anwendbar"
surf,"Brandung"
togetherness,"Zweisamkeit"
ungrateful,"undankbar"
interest,"Zinsen"
again,"abermals"
purpose,"Zweck"
phlegmatism,"Phlegmatismus"
rigidity,"Rigidität"
soon,"in Bälde"
trough,"Trog"
garbage,"Unrat"
peninsula,"Halbinsel"
suck out,"auslutschen"
fool,"Narr"
impregnate,"imprägnieren"
recite,"rezitieren"
treat,"verköstigen"
feeding bowl,"Fressnapf"
impressed,"beeindruckt"
newspaper article,"Zeitungsartikel"
spoil heap,"Abraumhalde"
surcharge,"Aufschlag"
native speaker,"Muttersprachler"
kneecap,"Kniescheibe"
conglomerate,"Konglomerat"
remember,"entsinnen"
stroll,"stroll"
wing beat,"Flügelschlagen"
tub,"Wanne"
plead,"flehen"
knot hole,"Astloch"
consideration,"Betracht"
vehement,"vehement"
reminder,"Mahnung"
lymph,"Lymphe"
predetermined,"vorherbestimmt"
outbreak,"Ausbruch"
divorce,"Scheidung"
assume,"annehmen"
assumption,"Vermutung"
rewarding,"belohnend"
exceed,"überschreiten"
strict,"streng"
