Kontrolle,control
Wasser,water
Geschichte,history
Bilder,pictures
Größe,size
Kunst,art
persönlich,personal
seit,since
einschließlich,including
Führer,guide
Laden,shop
Verzeichnis,directory
Brett,board
Standort,location
Änderung,change
weiß,white
Text,text
klein,small
Bewertung,rating
Rate,rate
Regierung,government
Kinder,children
während,during
Rückkehr,return
Studenten,students
Einkaufen,shopping
Konto,account
Zeiten,times
Seiten,sites
Ebene,level
digital,digital
Profil,profile
vorherig,previous
Formular,form
Ereignisse,events
Liebe,love
alt,old
Haupt,main
Anruf,call
Stunden,hours
Bild,image
Abteilung,department
Titel,title
Beschreibung,description
nicht,non
Versicherung,insurance
ein anderer,another
warum,why
soll,shall
Eigentum,property
Klasse,class
noch,still
Geld,money
Qualität,quality
jede,every
Auflistung,listing
Inhalt,content
Land,country
privat,private
wenig,little
Besuch,visit
speichern,save
Tools,Werkzeuge
low,niedrig
reply,Antwort
customer,Kunde
compare,vergleichen
movies,Filme
include,einschließen
college,Hochschule
value,Wert
article,Artikel
man,Mann
card,Karte
jobs,Jobs
provide,bereitstellen
food,Essen
source,Quelle
author,Autor
different,verschieden
press,Presse
learn,lernen
sale,Verkauf
around,herum
print,drucken
course,Kurs
process,Prozess
teen,Teenager
room,Raum
stock,Lager
training,Training
too,auch
credit,Kredit
point,Punkt
join,beitreten
science,Wissenschaft
men,Männer
categories,Kategorien
advanced,fortgeschritten
sales,Verkäufe
control,Kontrolle
water,Wasser
history,Geschichte
pictures,Bilder
size,Größe
art,Kunst
personal,persönlich
since,seit
including,einschließlich
guide,Führer
shop,Laden
directory,Verzeichnis
board,Brett
location,Standort
change,Änderung
white,weiß
text,Text
small,klein
rating,Bewertung
rate,Rate
government,Regierung
children,Kinder
during,während
return,Rückkehr
students,Studenten
shopping,Einkaufen
account,Konto
times,Zeiten
sites,Seiten
level,Ebene
digital,digital
profile,Profil
previous,vorherig
form,Formular
events,Ereignisse
love,Liebe
old,alt
main,Haupt
call,Anruf
hours,Stunden
image,Bild
department,Abteilung
title,Titel
description,Beschreibung
non,nicht
insurance,Versicherung
another,ein anderer
why,warum
shall,soll
property,Eigentum
class,Klasse
still,noch
money,Geld
quality,Qualität
every,jede
listing,Auflistung
content,Inhalt
country,Land
private,privat
little,wenig
visit,Besuch
save,speichern
Werkzeuge,Tools
niedrig,low
Antwort,reply
Kunde,customer
vergleichen,compare
Filme,movies
einschließen,include
Hochschule,college
Wert,value
Artikel,article
Mann,man
Karte,card
Jobs,jobs
bereitstellen,provide
Essen,food
Quelle,source
Autor,author
verschieden,different
Presse,press
lernen,learn
Verkauf,sale
herum,around
drucken,print
Kurs,course
Prozess,process
Teenager,teen
Raum,room
Lager,stock
Training,training
auch,too
Kredit,credit
Punkt,point
beitreten,join
Wissenschaft,science
Männer,men
Kategorien,categories
fortgeschritten,advanced
Verkäufe,sales
