aerospace,"aeroespacial"
fever,"fiebre"
reliable,"confiable"
pecans,"pacanas"
peanut,"cacahuete"
gauge,"medir"
stark contrast,"contraste marcado"
betrayal,"traición"
ignite,"encender"
effort,"esfuerzo"
freaking,"maldito"
tensor,"tensor"
trigger,"disparador"
fixed,"fijo"
to gauge,"calibrar"
fulfil,"cumplir"
inertial,"inercial"
nutmeg,"nuez moscada"
crude,"crudo"
overdue,"atrasado"
substantial,"sustancial"
decay,"decaer"
hang-ups,"complejos"
seal,"sello"
claustrophobia,"claustrofobia"
bump,"golpe"
convex,"convexo"
hardend professionals,"profesionales curtidos"
moisture,"humedad"
stepped in,"intervino"
ripple effect,"efecto dominó"
byproduct,"subproducto"
amounted,"ascendió"
setback,"contratiempo"
concave,"cóncavo"
outcome,"resultado"
anticipate,"anticipar"
equitable,"equitativo"
microalga,"microalga"
reliable,"confiable"
blamed,"culpado"
faulty,"defectuoso"
crude,"crudo"
penny less,"sin un centavo"
signature,"firma"
wildly,"salvajemente"
aptly,"acertadamente"
led,"dirigió"
ascent,"ascenso"
stranded,"varado"
seemed,"pareció"
scrubbed,"cancelado"
conservation,"conservación"
assuming,"asumiendo"
attempt,"intento"
chamber,"cámara"
Recreation Area,"Área de Recreación"
engulfed,"envuelto"
stuck,"atascado"
stirring,"conmovedor"
isotrop,"isótropo"
charger,"cargador"
unscrewed,"desatornillado"
steering wheel,"volante"
surrounding,"circundante"
sheet,"hoja"
vertice,"vértice"
for see,"prever"
duality,"dualidad"
foresee,"prever"
force,"fuerza"
algae,"algas"
tapped,"aprovechado"
propellant,"propulsor"
redundancy,"redundancia"
abort test,"prueba de aborto"
valve,"válvula"
collection,"colección"
properly,"correctamente"
corrosion,"corrosión"
figure out,"descifrar"
ignited,"encendido"
comical,"cómico"
manoeuvrable,"maniobrable"
doom,"condena"
sturdy,"robusto"
fetch,"buscar"
prevalent,"prevalente"
sterile,"estéril"
deal,"trato"
parish,"parroquia"
nozzles,"boquillas"
delay,"retraso"
processed,"procesado"
possessed,"poseído"
faith,"fe"
steered,"dirigido"
way deeper,"mucho más profundo"
sill,"alféizar"
spicy,"picante"
aeroespacial,"aerospace"
fiebre,"fever"
confiable,"reliable"
pacanas,"pecans"
cacahuete,"peanut"
medir,"gauge"
contraste marcado,"stark contrast"
traición,"betrayal"
encender,"ignite"
esfuerzo,"effort"
maldito,"freaking"
tensor,"tensor"
disparador,"trigger"
fijo,"fixed"
calibrar,"to gauge"
cumplir,"fulfil"
inercial,"inertial"
nuez moscada,"nutmeg"
crudo,"crude"
atrasado,"overdue"
sustancial,"substantial"
decaer,"decay"
complejos,"hang-ups"
sello,"seal"
claustrofobia,"claustrophobia"
golpe,"bump"
convexo,"convex"
profesionales curtidos,"hardend professionals"
humedad,"moisture"
intervino,"stepped in"
efecto dominó,"ripple effect"
subproducto,"byproduct"
ascendió,"amounted"
contratiempo,"setback"
cóncavo,"concave"
resultado,"outcome"
anticipar,"anticipate"
equitativo,"equitable"
microalga,"microalga"
confiable,"reliable"
culpado,"blamed"
defectuoso,"faulty"
crudo,"crude"
sin un centavo,"penny less"
firma,"signature"
salvajemente,"wildly"
acertadamente,"aptly"
dirigió,"led"
ascenso,"ascent"
varado,"stranded"
pareció,"seemed"
cancelado,"scrubbed"
conservación,"conservation"
asumiendo,"assuming"
intento,"attempt"
cámara,"chamber"
Área de Recreación,"Recreation Area"
envuelto,"engulfed"
atascado,"stuck"
conmovedor,"stirring"
isótropo,"isotrop"
cargador,"charger"
desatornillado,"unscrewed"
volante,"steering wheel"
circundante,"surrounding"
hoja,"sheet"
vértice,"vertice"
prever,"for see"
dualidad,"duality"
prever,"foresee"
fuerza,"force"
algas,"algae"
aprovechado,"tapped"
propulsor,"propellant"
redundancia,"redundancy"
prueba de aborto,"abort test"
válvula,"valve"
colección,"collection"
correctamente,"properly"
corrosión,"corrosion"
descifrar,"figure out"
encendido,"ignited"
cómico,"comical"
maniobrable,"manoeuvrable"
condena,"doom"
robusto,"sturdy"
buscar,"fetch"
prevalente,"prevalent"
estéril,"sterile"
trato,"deal"
parroquia,"parish"
boquillas,"nozzles"
retraso,"delay"
procesado,"processed"
poseído,"possessed"
fe,"faith"
dirigido,"steered"
mucho más profundo,"way deeper"
alféizar,"sill"
picante,"spicy"
