respalda,"support"
logicamente,"logically"
clasificado,"classified"
raiz,"root"
torcido,"twisted"
picante,"spicy"
lidiar,"deal with"
estanque,"pond"
contemplar,"contemplate"
selva,"jungle"
renovar,"renew"
predeterminado,"default"
a pesar,"despite"
acantilado,"cliff"
glorioso,"glorious"
ratificación,"ratification"
por fin,"finally"
cuya,"whose"
ingenuidad,"naivety"
persecución,"persecution"
lealtad,"loyalty"
juzgar,"judge"
ambicioso,"ambitious"
humillación,"humiliation"
audiencia,"audience"
junta,"board"
revanchismo,"revanchism"
hostilidad,"hostility"
influenciar,"influence"
interrogatorio,"interrogation"
acusación,"accusation"
nominado,"nominee"
receso,"recess"
testimonio,"testimony"
atájantemente,"bluntly"
lealtad,"loyalty"
recalcitrante,"recalcitrant"
espectativa,"expectation"
concluyente,"conclusive"
exonerado,"exonerated"
conclundente,"conclusive"
imparcial,"impartial"
escrúpulo,"scruple"
encabezado,"headline"
convicciones,"convictions"
caballeroso,"chivalrous"
fingir,"pretend"
contrivución,"contribution"
invécil,"imbecile"
inciendería,"arson"
acosación,"harassment"
credibilidad,"credibility"
reemplazar,"replace"
credencial,"credential"
leal,"loyal"
intermidiario,"intermediary"
delatar,"betray"
evidencia,"evidence"
cargos,"charges"
constancia,"perseverance"
testificar,"testify"
clasificado,"classified"
lamentar,"regret"
derrotado,"defeated"
principiante,"beginner"
reportero,"reporter"
apelar,"appeal"
extenso,"extensive"
escurridizo,"elusive"
postura,"posture"
vengativo,"vindictive"
enigmático,"enigmatic"
diversificar,"diversify"
escombro,"rubble"
respaldar,"support"
honestidad,"honesty"
alcantarilla,"sewer"
angustia,"anguish"
fama,"fame"
retrato,"portrait"
apostar,"bet"
conviccón,"conviction"
determinar,"determine"
de hecho,"in fact"
remota posibilidad,"remote possibility"
detentes,"stop"
estallido,"outbreak"
interrogar,"interrogate"
partido,"party"
estimado,"estimated"
plagado,"plagued"
lealtad,"loyalty"
aterrar,"terrify"
vencer,"overcome"
factible,"feasible"
sugerir,"suggest"
asumir,"assume"
revelar,"reveal"
rebasar,"exceed"
perdurar,"endure"
support,"respalda"
logically,"logicamente"
classified,"clasificado"
root,"raiz"
twisted,"torcido"
spicy,"picante"
deal with,"lidiar"
pond,"estanque"
contemplate,"contemplar"
jungle,"selva"
renew,"renovar"
default,"predeterminado"
despite,"a pesar"
cliff,"acantilado"
glorious,"glorioso"
ratification,"ratificación"
finally,"por fin"
whose,"cuya"
naivety,"ingenuidad"
persecution,"persecución"
loyalty,"lealtad"
judge,"juzgar"
ambitious,"ambicioso"
humiliation,"humillación"
audience,"audiencia"
board,"junta"
revanchism,"revanchismo"
hostility,"hostilidad"
influence,"influenciar"
interrogation,"interrogatorio"
accusation,"acusación"
nominee,"nominado"
recess,"receso"
testimony,"testimonio"
bluntly,"atájantemente"
loyalty,"lealtad"
recalcitrant,"recalcitrante"
expectation,"espectativa"
conclusive,"concluyente"
exonerated,"exonerado"
conclusive,"conclundente"
impartial,"imparcial"
scruple,"escrúpulo"
headline,"encabezado"
convictions,"convicciones"
chivalrous,"caballeroso"
pretend,"fingir"
contribution,"contrivución"
imbecile,"invécil"
arson,"inciendería"
harassment,"acosación"
credibility,"credibilidad"
replace,"reemplazar"
credential,"credencial"
loyal,"leal"
intermediary,"intermidiario"
betray,"delatar"
evidence,"evidencia"
charges,"cargos"
perseverance,"constancia"
testify,"testificar"
classified,"clasificado"
regret,"lamentar"
defeated,"derrotado"
beginner,"principiante"
reporter,"reportero"
appeal,"apelar"
extensive,"extenso"
elusive,"escurridizo"
posture,"postura"
vindictive,"vengativo"
enigmatic,"enigmático"
diversify,"diversificar"
rubble,"escombro"
support,"respaldar"
honesty,"honestidad"
sewer,"alcantarilla"
anguish,"angustia"
fame,"fama"
portrait,"retrato"
bet,"apostar"
conviction,"conviccón"
determine,"determinar"
in fact,"de hecho"
remote possibility,"remota posibilidad"
stop,"detentes"
outbreak,"estallido"
interrogate,"interrogar"
party,"partido"
estimated,"estimado"
plagued,"plagado"
loyalty,"lealtad"
terrify,"aterrar"
overcome,"vencer"
feasible,"factible"
suggest,"sugerir"
assume,"asumir"
reveal,"revelar"
exceed,"rebasar"
endure,"perdurar"
