acusación,"accusation"
voltear,"to turn"
involucrar,"to involve"
amortiguador,"shock absorber"
determinar,"to determine"
sustentable,"sustainable"
reacción en cadena,"chain reaction"
asunto,"matter"
mención,"mention"
brindado,"provided"
fingir,"to pretend"
brindar,"to offer"
compromiso,"commitment"
delatar,"to betray"
remoto,"remote"
bando,"faction"
raptar,"to kidnap"
disminuir,"to decrease"
cuestionable,"questionable"
meritar,"to merit"
satisfecho,"satisfied"
integridad,"integrity"
sindicato,"union"
autosustentable,"self-sustainable"
milagro,"miracle"
integridad,"integrity"
renunciar,"to resign"
infiltrar,"to infiltrate"
factible,"feasible"
incidente,"incident"
rencor,"resentment"
compartimentación,"compartmentalization"
culminación,"culmination"
juicio,"judgment"
contribución,"contribution"
mencionar,"to mention"
segado,"mowed"
presupuesto,"budget"
bombilla,"light bulb"
coronel,"colonel"
autosuficiente,"self-sufficient"
proceder,"to proceed"
neurótico,"neurotic"
bruto,"gross"
meseta,"plateau"
sindicato,"union"
teatrero,"theatrical"
restringido,"restricted"
transición,"transition"
expediente,"file"
ilustre,"illustrious"
mensionar,"to mention"
exigir,"to demand"
simplista,"simplistic"
rumor,"rumor"
ingenuo,"naive"
comprender,"to understand"
viuda,"widow"
débil,"weak"
interacción electromagnética,"electromagnetic interaction"
recrutar,"to recruit"
teletransportar,"to teleport"
bufón,"jester"
cigarra,"cicada"
salir,"to leave"
preservar,"to preserve"
península,"peninsula"
tentáculo,"tentacle"
rigidez,"rigidity"
flematicismo,"phlegmatism"
mártir,"martyr"
tumulto,"tumult"
revuelo,"commotion"
despedida,"farewell"
succionar,"to suck"
volcar,"to overturn"
derrocar,"to overthrow"
compañerismo,"companionship"
intimidad entre dos,"intimacy between two"
cuentakilómetros,"odometer"
velocímetro,"speedometer"
talón,"heel"
suspirar,"to sigh"
cubrir,"to cover"
ocultar,"to hide"
inofensivo,"harmless"
aparente,"apparent"
desertor,"deserter"
renegado,"renegade"
adornar,"to decorate"
embellecer,"to embellish"
limpiaparabrisas,"windshield wiper"
brackets,"braces"
aparato dental,"dental appliance"
disturbio,"disturbance"
brecha,"gap"
talón de Aquiles,"Achilles' heel"
vigilante,"watchful"
atento,"attentive"
delicado,"delicate"
accusation,"acusación"
"to turn","voltear"
"to involve","involucrar"
"shock absorber","amortiguador"
"to determine","determinar"
sustainable,"sustentable"
"chain reaction","reacción en cadena"
matter,"asunto"
mention,"mención"
provided,"brindado"
"to pretend","fingir"
"to offer","brindar"
commitment,"compromiso"
"to betray","delatar"
remote,"remoto"
faction,"bando"
"to kidnap","raptar"
"to decrease","disminuir"
questionable,"cuestionable"
"to merit","meritar"
satisfied,"satisfecho"
integrity,"integridad"
union,"sindicato"
self-sustainable,"autosustentable"
miracle,"milagro"
integrity,"integridad"
"to resign","renunciar"
"to infiltrate","infiltrar"
feasible,"factible"
incident,"incidente"
resentment,"rencor"
compartmentalization,"compartimentación"
culmination,"culminación"
judgment,"juicio"
contribution,"contribución"
"to mention","mencionar"
mowed,"segado"
budget,"presupuesto"
"light bulb","bombilla"
colonel,"coronel"
self-sufficient,"autosuficiente"
"to proceed","proceder"
neurotic,"neurótico"
gross,"bruto"
plateau,"meseta"
union,"sindicato"
theatrical,"teatrero"
restricted,"restringido"
transition,"transición"
file,"expediente"
illustrious,"ilustre"
"to mention","mensionar"
"to demand","exigir"
simplistic,"simplista"
rumor,"rumor"
naive,"ingenuo"
"to understand","comprender"
widow,"viuda"
weak,"débil"
"electromagnetic interaction","interacción electromagnética"
"to recruit","recrutar"
"to teleport","teletransportar"
jester,"bufón"
cicada,"cigarra"
"to leave","salir"
"to preserve","preservar"
peninsula,"península"
tentacle,"tentáculo"
rigidity,"rigidez"
phlegmatism,"flematicismo"
martyr,"mártir"
tumult,"tumulto"
commotion,"revuelo"
farewell,"despedida"
"to suck","succionar"
"to overturn","volcar"
"to overthrow","derrocar"
companionship,"compañerismo"
"intimacy between two","intimidad entre dos"
odometer,"cuentakilómetros"
speedometer,"velocímetro"
heel,"talón"
"to sigh","suspirar"
"to cover","cubrir"
"to hide","ocultar"
harmless,"inofensivo"
apparent,"aparente"
deserter,"desertor"
renegade,"renegado"
"to decorate","adornar"
"to embellish","embellecer"
"windshield wiper","limpiaparabrisas"
braces,"brackets"
"dental appliance","aparato dental"
disturbance,"disturbio"
gap,"brecha"
"Achilles' heel","talón de Aquiles"
watchful,"vigilante"
attentive,"atento"
delicate,"delicado"
