pliegue,"fold"
cuello de camisa,"shirt collar"
diverso,"diverse"
variado,"varied"
a pesar de eso,"despite that"
sin embargo,"however"
satisfacción,"satisfaction"
sutil,"subtle"
excelente,"excellent"
circunstancias,"circumstances"
temerario,"reckless"
audaz,"bold"
recesión,"recession"
vulnerabilidad,"vulnerability"
traición,"betrayal"
deudas,"debts"
inquietud,"restlessness"
pliegue de piel,"skin fold"
extorsionar,"extort"
Lengua,"tongue"
equivalente,"equivalent"
psiquiátrico,"psychiatric"
desatar,"unleash"
campeonato,"championship"
rótula,"kneecap"
encender,"turn on"
fallo,"failure"
digitalización,"digitalization"
cabeza explosiva,"explosive head"
construirse mutuamente,"build each other"
rizado,"curly"
isótropo,"isotropic"
frondoso,"leafy"
divorcio,"divorce"
rampa,"ramp"
preguntador,"questioner"
palabra foránea,"foreign word"
extraordinario,"extraordinary"
punta,"tip"
aduanas,"customs"
globo terráqueo,"globe"
políticos,"politicians"
palabra extranjera,"foreign word"
marco,"frame"
globo aerostático,"hot air balloon"
predecir,"predict"
garnición,"garnish"
perseverancia,"perseverance"
asignar,"assign"
Hipersensible,"hypersensitive"
fórmula del mundo,"world formula"
aplicable,"applicable"
calavera,"skull"
funcionario de aduanas,"customs officer"
conjugar,"conjugate"
sincero,"sincere"
honesto,"honest"
ola,"wave"
impecable,"impeccable"
mentalmente,"mentally"
contorno,"contour"
aglomerado,"agglomerated"
superar,"overcome"
ambicioso,"ambitious"
lazo,"bow"
ajustar,"adjust"
inconcreto,"vague"
agujero de rama,"branch hole"
quien sea,"whoever"
anilla,"ring"
reloj de volante mecánico,"mechanical balance wheel watch"
gorro de visera,"visor cap"
palanca de cambios,"gear shift"
escombrera,"dump"
fiero,"fierce"
muralla,"wall"
impuesto,"tax"
impuestos,"taxes"
acontecimientos mundiales,"world events"
anhelar,"yearn"
seguro,"safe"
distante,"distant"
machete,"machete"
elevado,"elevated"
humor,"mood"
mezquino,"petty"
puente colgante,"suspension bridge"
monótono,"monotonous"
plastificar,"laminate"
intervalo,"interval"
posición,"position"
expuesto,"exposed"
desplegar,"deploy"
rango,"range"
vendedor ambulante,"street vendor"
de hecho,"in fact"
suspirar,"sigh"
desbloquear,"unlock"
pico,"peak"
quisquilloso,"fussy"
fold,"pliegue"
shirt collar,"cuello de camisa"
diverse,"diverso"
varied,"variado"
despite that,"a pesar de eso"
however,"sin embargo"
satisfaction,"satisfacción"
subtle,"sutil"
excellent,"excelente"
circumstances,"circunstancias"
reckless,"temerario"
bold,"audaz"
recession,"recesión"
vulnerability,"vulnerabilidad"
betrayal,"traición"
debts,"deudas"
restlessness,"inquietud"
skin fold,"pliegue de piel"
extort,"extorsionar"
tongue,"Lengua"
equivalent,"equivalente"
psychiatric,"psiquiátrico"
unleash,"desatar"
championship,"campeonato"
kneecap,"rótula"
turn on,"encender"
failure,"fallo"
digitalization,"digitalización"
explosive head,"cabeza explosiva"
build each other,"construirse mutuamente"
curly,"rizado"
isotropic,"isótropo"
leafy,"frondoso"
divorce,"divorcio"
ramp,"rampa"
questioner,"preguntador"
foreign word,"palabra foránea"
extraordinary,"extraordinario"
tip,"punta"
customs,"aduanas"
globe,"globo terráqueo"
politicians,"políticos"
foreign word,"palabra extranjera"
frame,"marco"
hot air balloon,"globo aerostático"
predict,"predecir"
garnish,"garnición"
perseverance,"perseverancia"
assign,"asignar"
hypersensitive,"Hipersensible"
world formula,"fórmula del mundo"
applicable,"aplicable"
skull,"calavera"
customs officer,"funcionario de aduanas"
conjugate,"conjugar"
sincere,"sincero"
honest,"honesto"
wave,"ola"
impeccable,"impecable"
mentally,"mentalmente"
contour,"contorno"
agglomerated,"aglomerado"
overcome,"superar"
ambitious,"ambicioso"
bow,"lazo"
adjust,"ajustar"
vague,"inconcreto"
branch hole,"agujero de rama"
whoever,"quien sea"
ring,"anilla"
mechanical balance wheel watch,"reloj de volante mecánico"
visor cap,"gorro de visera"
gear shift,"palanca de cambios"
dump,"escombrera"
fierce,"fiero"
wall,"muralla"
tax,"impuesto"
taxes,"impuestos"
world events,"acontecimientos mundiales"
yearn,"anhelar"
safe,"seguro"
distant,"distante"
machete,"machete"
elevated,"elevado"
mood,"humor"
petty,"mezquino"
suspension bridge,"puente colgante"
monotonous,"monótono"
laminate,"plastificar"
interval,"intervalo"
position,"posición"
exposed,"expuesto"
deploy,"desplegar"
range,"rango"
street vendor,"vendedor ambulante"
in fact,"de hecho"
sigh,"suspirar"
unlock,"desbloquear"
peak,"pico"
fussy,"quisquilloso"
