Abhängiger,addict
abschreien,shout off
absteigen,descend
addict,Abhängiger
advocate,verfechten
angemessen,appropriate
angstvoll schreien,screan
anrufen,"call
ring
phone"
apron,Schürze
attention span,Aufmerksamkeitsspanne
aufholen,catch up
aufkommen,come up
Aufmerksamkeitsspanne,attention span
"aufregend
",exciting
aufrichtig,sincerely
ausfallen,fall out
auslachen,laugh at 
ausnutzen,exploit
Bebrillt,spectacled
Bellen,barking
bescheiden,humble
beschweren,complain
"beträchtlich
",considerable
beute,prey
"bewusst
",conscious
bezahlen,pay for
Blitz,lighting
break up,"sich trennen
"
Brüllen,roarling
cable,Kabel
cage,Käfig
"call
ring
phone",anrufencall
carry,"tragen
"
CNC,computer numerical control
computer numerical control,CNC
conscientious,"gewissenhaft
"
conscious,"bewusst
"
considerable,"beträchtlich
"
considerate,"rücksichtsvoll
"
continual,"fortwährend
"
continuous,"kontinuierlich
"
deutlich,distinct
dizzy,schwindeln
Donner,thunder
dustbin,Mülleimer
eher,rather
Eile,haste
Einrichtung,establishment
einschränken,restrict
eintragen,register
Eisstadion,ice ring
Encouragement,"Ermutigung
"
Entschuldigung,apology
erhalten,receive
"Ermutigung
",encouragement
"erschöpft
",exhausted
erzählte,told
Esel,donkey
etwas geht aus,something go out
exciting,"aufregend
"
exhausted,"erschöpft
"
Faust,fist
festhalten,hold on
fist,Faust
flood,Flut
Flut,flood
Fortschritt,progress
"fortwährend
",continual
Friedhof,"cemetery
grave yard"
Fußgänger,pedestrians
fördern,promote
gebräunte Haut,tanned skin
geeignet,suitable
Gepard,cheetah
"gewissenhaft
",conscientious
Glatze,bald hear
go out,"ausgehen
"
Grab,grave
Gutschein,voucher
Hahn,rooster
Handgelenk,wrist
Hinweis,notice
hold on,festhalten
hurdless,Hürdenlauf
höflich,polite
Hürdenlauf,Hurdless
Hütte,hut
im Schneidersitz sitzen,sit legs crossed
in der Tat,indeed
in Eile,in a hurry
irgendwie,kind of way
jemand,Someone
Kabel,cable
Kater (Ethanol),hangover
Kaufhaus,department store
klimatisiert,air-conditioned
Knurren,growling
Konsum,consumerism
"kontinuierlich
",continuous
kopfüber,upside down
Käfig,cage
Ladendiebstahl,shoplifting
laugh at ,auslachen
Leder,leather
lie,Lügen
Lieferung,shipment
Lügen,lie
mankind,Menschheit
Mauzen,meowing
Meiner Meinung nach,In my view
Menschheit,mankind
Milchprodukte,dairy
Muhen,mooing
muskulös,muscular
Muster,pattern
Mülleimer,dustbin
nachhaken,chase up
"Nervenkitzel
",thrill
"nirgendwo
",nowhere
notice,Hinweis
notwendig,necessary
nowhere,"nirgendwo
"
oberkörperfrei,shirtless
obwohl,although
package,"Päckchen
Packet"
paralyzed from the neck down,Querschnittsgelehmt
pattern,Muster
pay for,bezahlen
Personal,staff
Pfoten,paws
polite,höflich
Polsterung,upholstery
Ponny,bangs
Problem,issue
promote,fördern
Päckchen,package
Quaken (Ente),quacking
Quaken (Frosch),croaking
Querschnittsgelehmt,paralyzed from the neck down
quitschend,squeaking
rather,eher
"Rechnung
Gesetzentwurf
Schein",bill
reduzieren,"cut down
reduce"
register,eintragen
rowing,Rudern
Rudern,rowing
Ruine,ruin
"rücksichtsvoll
",considerate
schalted ab,shuts down
Schlange,snake
schlimmste,worst
Schlittschuhlauf,ice-skating
Schmuck,jewellery
schnitzen,carve
"schreien
aufschreien",yell
schreiend,braying
schwindeln,dizzy
Schürze,apron
screan,schreien
selbstsicher,confident
"sich trennen
",break up
Skelett,skeleton
sollte,should
someone,jemand
somit,thus
Sonnenstich,sunstroke
strawman,Strohman
Straßenmusikant,busker
sunstroke,Sonnenstich
"Suppose
When
If",Wenn
Tagebuch,diary
Tamburin,tambourine
thrill,"Nervenkitzel
"
to be honest,um ehrlich zu sein
Tonnen Mengen,tons
"tragen
",carry
treu,faithfully
um ehrlich zu sein,to be honest
unerwartet,unexpected
unexpected,unerwartet
Ventilator,fan
verbieten,to ban
verfechten,advocate
verkehr,traffic
verstecken,hide
verständlich,comprehensible
verzögert,laggy
viel,"a lot of
"
vielleicht,perhaps
"Vogelscheuche
Strohman",strawman
Vorfall,incident
Vorschlag,suggestion
weder () noch (),No () neither ()
weinen,cry
Weisheit,wisdom
Wenn,"Suppose
When
If"
werfen,throw
yell,"schreien
aufschreien"
Zischen,hissing
überzeugt,persuaded
