noch mal,"once again"
künftige,"future"
mies,"lousy"
Flügelfenster,"casement window"
Gedenktag,"memorial day"
Epizentrum,"epicenter"
Reichweite,"range"
Docht,"wick"
desinteresse,"disinterest"
Sinn,"sense"
seither,"since then"
Bahnen,"tracks"
bestehend aus,"consisting of"
Artefakt,"artifact"
geflochten,"braided"
inzwischen,"meanwhile"
übertreten,"transgress"
prachtvoller,"more splendid"
Lücke,"gap"
radikal,"radical"
Leibwächter,"bodyguard"
eklatant,"blatant"
Verein,"club"
Pomade,"pomade"
Akteure,"actors"
Radkappe,"hubcap"
Augenlied,"eyelid"
Kompromiss,"compromise"
heilig,"holy"
hoheitsvoll,"majestic"
Feingefühl,"sensitivity"
etwas takten,"to pace something"
Ausmaß,"extent"
erklären,"explain"
Kerzenhalter,"candlestick"
gebeutelt,"battered"
Liebeskummer,"lovesickness"
schleppen,"drag"
Zwerg,"dwarf"
Staubkorn,"speck of dust"
Fahrschule,"driving school"
genesen,"recover"
Konkurrenz,"competition"
gnädig,"gracious"
ausbauen,"expand"
wunderbar,"wonderful"
zulegen,"gain"
überzeugt,"convinced"
herausgeputzt,"dressed up"
diametral,"diametrically"
Streber,"nerd"
geeignet,"suitable"
Floh,"flea"
Umgebung,"environment"
Kristall,"crystal"
preisbewusst,"price-conscious"
Requisiten,"props"
Türklingel,"doorbell"
sich ausmalen,"imagine"
seufzen,"sigh"
Ritze,"crack"
Klobürste,"toilet brush"
Häftling,"prisoner"
Dürre,"drought"
selbstbestimmt,"self-determined"
Wiege,"cradle"
Gesichtsausdruck,"facial expression"
durchatmen,"breathe deeply"
griffeln,"scribble"
Pflicht,"duty"
schwerwiegend,"serious"
knallen,"bang"
Güter,"goods"
überspringen,"skip"
kleckern,"spill"
decent,"decent"
Wiese,"meadow"
bedienen,"serve"
Optik,"optics"
wahrhaftig,"truly"
einmischen,"interfere"
servieren,"serve"
Falte,"fold"
ankündigen,"announce"
steuern,"control"
behutsam,"careful"
antiquiert,"antiquated"
Kleeblatt,"clover leaf"
Narrativ,"narrative"
abziehen,"deduct"
Infastrutktur,"infrastructure"
heikel,"delicate"
Steuer,"tax"
basisch,"basic"
wohlfühlen,"feel comfortable"
Blinklicht,"flashing light"
Lektüre,"reading"
aufschlagen,"open"
rasen,"speed"
unendlich,"infinite"
once again,"noch mal"
future,"künftige"
lousy,"mies"
casement window,"Flügelfenster"
memorial day,"Gedenktag"
epicenter,"Epizentrum"
range,"Reichweite"
wick,"Docht"
disinterest,"desinteresse"
sense,"Sinn"
since then,"seither"
tracks,"Bahnen"
consisting of,"bestehend aus"
artifact,"Artefakt"
braided,"geflochten"
meanwhile,"inzwischen"
transgress,"übertreten"
more splendid,"prachtvoller"
gap,"Lücke"
radical,"radikal"
bodyguard,"Leibwächter"
blatant,"eklatant"
club,"Verein"
pomade,"Pomade"
actors,"Akteure"
hubcap,"Radkappe"
eyelid,"Augenlied"
compromise,"Kompromiss"
holy,"heilig"
majestic,"hoheitsvoll"
sensitivity,"Feingefühl"
to pace something,"etwas takten"
extent,"Ausmaß"
explain,"erklären"
candlestick,"Kerzenhalter"
battered,"gebeutelt"
lovesickness,"Liebeskummer"
drag,"schleppen"
dwarf,"Zwerg"
speck of dust,"Staubkorn"
driving school,"Fahrschule"
recover,"genesen"
competition,"Konkurrenz"
gracious,"gnädig"
expand,"ausbauen"
wonderful,"wunderbar"
gain,"zulegen"
convinced,"überzeugt"
dressed up,"herausgeputzt"
diametrically,"diametral"
nerd,"Streber"
suitable,"geeignet"
flea,"Floh"
environment,"Umgebung"
crystal,"Kristall"
price-conscious,"preisbewusst"
props,"Requisiten"
doorbell,"Türklingel"
imagine,"sich ausmalen"
sigh,"seufzen"
crack,"Ritze"
toilet brush,"Klobürste"
prisoner,"Häftling"
drought,"Dürre"
self-determined,"selbstbestimmt"
cradle,"Wiege"
facial expression,"Gesichtsausdruck"
breathe deeply,"durchatmen"
scribble,"griffeln"
duty,"Pflicht"
serious,"schwerwiegend"
bang,"knallen"
goods,"Güter"
skip,"überspringen"
spill,"kleckern"
decent,"decent"
meadow,"Wiese"
serve,"bedienen"
optics,"Optik"
truly,"wahrhaftig"
interfere,"einmischen"
serve,"servieren"
fold,"Falte"
announce,"ankündigen"
control,"steuern"
careful,"behutsam"
antiquated,"antiquiert"
clover leaf,"Kleeblatt"
narrative,"Narrativ"
deduct,"abziehen"
infrastructure,"Infastrutktur"
delicate,"heikel"
tax,"Steuer"
basic,"basisch"
feel comfortable,"wohlfühlen"
flashing light,"Blinklicht"
reading,"Lektüre"
open,"aufschlagen"
speed,"rasen"
infinite,"unendlich"
