Kapillarität,"capillarity"
Gesellschaft,"society"
nach etwas trachten,"to strive for something"
Tastatur,"keyboard"
Nebenquantenzahl,"azimuthal quantum number"
Verlag,"publishing house"
Subtraktion,"subtraction"
Feder,"spring"
libertär,"libertarian"
Endlichkeit,"finiteness"
Krümmung,"curvature"
Koralle,"coral"
Rost,"rust"
plantieren,"to plant"
Einlauf,"enema"
kaleidoskopisch,"kaleidoscopic"
ausdehnen,"to expand"
frohlocken,"to rejoice"
Überschuss,"surplus"
vulgär,"vulgar"
ausfallendes,"falling out"
Zwerg,"dwarf"
grenzwertig,"borderline"
Siluette,"silhouette"
Kalkül,"calculus"
Schleuder,"sling"
Festkörper,"solid body"
Edelstahl,"stainless steel"
Kakerlake,"cockroach"
Achterdeck,"quarterdeck"
egalitär,"egalitarian"
Unteriuntegral,"lower integral"
Sekundarstufe,"secondary level"
Konfiguration,"configuration"
Ausdehnung,"expansion"
prevalent,"prevalent"
Polyp,"polyp"
Celester körper,"celestial body"
Feistrukturkonstante,"fine-structure constant"
Oszillator,"oscillator"
Behälter,"container"
Wagenheber,"car jack"
Polynom,"polynomial"
Azimut,"azimuth"
empfehlen,"to recommend"
planieren,"to level"
Schraubverschluss,"screw cap"
kartesisch,"Cartesian"
Seetang,"seaweed"
Ausschweifung,"excess"
Paarbildung,"pair formation"
Kompressor,"compressor"
Stätte,"site"
Ableger,"offshoot"
Schraubzwinge,"clamp"
einlaufen,"to shrink"
interfinitesimal,"infinitesimal"
Oberintegral,"upper integral"
regulär,"regular"
schmachten,"to languish"
Meeresschwamm,"sea sponge"
Kegel,"cone"
Siedepunkt,"boiling point"
Kaleidoskop,"kaleidoscope"
Mangel,"lack"
Orbitalform,"orbital shape"
geschwungen,"curved"
Addition,"addition"
Adhäsion,"adhesion"
Herrschaften,"ladies and gentlemen"
Integration,"integration"
Depression,"depression"
wahrhaftig,"truly"
brutto,"gross"
Zerstörer,"destroyer"
in Bezug auf,"with regard to"
sektion,"section"
Kettenreaktion,"chain reaction"
Kamel,"camel"
rekrutieren,"to recruit"
entfachen,"to ignite"
Witwe,"widow"
starke kernkraft,"strong nuclear force"
schwache kernkraft,"weak nuclear force"
elektromagnetische Wechselwirkung,"electromagnetic interaction"
Abhandlung,"treatise"
netto,"net"
Integrität,"integrity"
Sportplatz,"sports field"
Schnodder,"snot"
Verrat,"betrayal"
zufrieden,"satisfied"
vortäuschen,"to pretend"
involvieren,"to involve"
Unterhemd,"undershirt"
verhören,"to interrogate"
urteilen,"to judge"
Kompartimentierung,"compartmentalization"
Lippenstift,"lipstick"
Hirse,"millet"
capillarity,"Kapillarität"
society,"Gesellschaft"
to strive for something,"nach etwas trachten"
keyboard,"Tastatur"
azimuthal quantum number,"Nebenquantenzahl"
publishing house,"Verlag"
subtraction,"Subtraktion"
spring,"Feder"
libertarian,"libertär"
finiteness,"Endlichkeit"
curvature,"Krümmung"
coral,"Koralle"
rust,"Rost"
to plant,"plantieren"
enema,"Einlauf"
kaleidoscopic,"kaleidoskopisch"
to expand,"ausdehnen"
to rejoice,"frohlocken"
surplus,"Überschuss"
vulgar,"vulgär"
falling out,"ausfallendes"
dwarf,"Zwerg"
borderline,"grenzwertig"
silhouette,"Siluette"
calculus,"Kalkül"
sling,"Schleuder"
solid body,"Festkörper"
stainless steel,"Edelstahl"
cockroach,"Kakerlake"
quarterdeck,"Achterdeck"
egalitarian,"egalitär"
lower integral,"Unteriuntegral"
secondary level,"Sekundarstufe"
configuration,"Konfiguration"
expansion,"Ausdehnung"
prevalent,"prevalent"
polyp,"Polyp"
celestial body,"Celester körper"
fine-structure constant,"Feistrukturkonstante"
oscillator,"Oszillator"
container,"Behälter"
car jack,"Wagenheber"
polynomial,"Polynom"
azimuth,"Azimut"
to recommend,"empfehlen"
to level,"planieren"
screw cap,"Schraubverschluss"
Cartesian,"kartesisch"
seaweed,"Seetang"
excess,"Ausschweifung"
pair formation,"Paarbildung"
compressor,"Kompressor"
site,"Stätte"
offshoot,"Ableger"
clamp,"Schraubzwinge"
to shrink,"einlaufen"
infinitesimal,"interfinitesimal"
upper integral,"Oberintegral"
regular,"regulär"
to languish,"schmachten"
sea sponge,"Meeresschwamm"
cone,"Kegel"
boiling point,"Siedepunkt"
kaleidoscope,"Kaleidoskop"
lack,"Mangel"
orbital shape,"Orbitalform"
curved,"geschwungen"
addition,"Addition"
adhesion,"Adhäsion"
ladies and gentlemen,"Herrschaften"
integration,"Integration"
depression,"Depression"
truly,"wahrhaftig"
gross,"brutto"
destroyer,"Zerstörer"
with regard to,"in Bezug auf"
section,"sektion"
chain reaction,"Kettenreaktion"
camel,"Kamel"
to recruit,"rekrutieren"
to ignite,"entfachen"
widow,"Witwe"
strong nuclear force,"starke kernkraft"
weak nuclear force,"schwache kernkraft"
electromagnetic interaction,"elektromagnetische Wechselwirkung"
treatise,"Abhandlung"
net,"netto"
integrity,"Integrität"
sports field,"Sportplatz"
snot,"Schnodder"
betrayal,"Verrat"
satisfied,"zufrieden"
to pretend,"vortäuschen"
to involve,"involvieren"
undershirt,"Unterhemd"
to interrogate,"verhören"
to judge,"urteilen"
compartmentalization,"Kompartimentierung"
lipstick,"Lippenstift"
millet,"Hirse"
