absent,"abwesend
"
achilles heel,Achillesferse
affordability,"Erschwinglichkeit
"
alley,"Gasse
"
allude,anspielen
Anreiz,incentive
anspielen,allude
Anstrengung,effort
"application
",Bewerbung
arm,"poor
"
at times,manchmal
aufgeblasen,puffed up
aufheben,picking up
Auflösung,"Resolution
"
ausreichend,sufficient
Austausch,"Exchange
"
auswählen,"select
"
awful,"schrecklich
"
banning,"verbieten
"
Behandlung,treatment
beilegen,"settle
"
beiseite,"aside
"
Benzin,gasoline
berechtigt,justified
bereit,"ready
"
bescheiden,"modest
"
Beschwerden,grievances
Bewerbung,"application
"
bipartisan,"überparteilich
"
breiter,"wider
"
brilliant,"brillant
"
broadcast,Sendung
broader,"breiter
"
casualties,"Opfer
"
Charta,charter
charter,Charta
citizen,"Bürger
"
committed,"engagiert
"
concern,"Besorgnis
"
connotations,"Konnotationen
"
corporate,"Unternehmens-
"
counterpart,Gegenstück
cover,"abdecken
"
crackdown,Razzia
demand,"Nachfrage
"
devel,"entwickeln
"
deviation,"Abweichung
"
Dicke,thickness
diesel,Diesel
Diesel,diesel
diminut,diminutive
diminutive,diminut
drills down,"bohrt tiefer
"
Dummkopf,knucklehead
Einstellung,"Attitude
"
"election campaign
","Wahlkapf
"
embraced,umarmt
employer,"Arbeitgeber
"
enhance,"verbessern
"
ensure,"sicherstellen
"
Entwickl,"Develop
"
Equator,Äquator
erhaben,"sublime
"
erniedrigen,demean
erreichen,"achieve
"
erschwinglich,"affordable
"
Erschwinglichkeit,"Affordability
"
Fallbeschleunigung,gravitational acceleration
Ferse,heel
feuerfest,"fireproof
"
fireproof,"feuerfest
"
fix it,repariere es
folgen,"follow
"
gasoline,Benzin
Gegenstück,counterpart
Gehaltsscheck,"Paycheck
"
get rid,"loswerden
"
Gießen,"Pouring
"
Gold,gold
gold,Gold
gravitational acceleration,Fallbeschleunigung
guess,raten
gut,"good
"
hiring,"einstellen
"
hochgestellt,superscript
housing,"Wohnungswesen
"
immens,immense
immense,immens
in the long run,"auf lange Sicht
"
inaugural,"Antritts-
"
incentive,Anreiz
incentivize,"Anreize schaffen
"
instead,stattdessen
insurance,Versicherung
insurance,"Versicherung
"
interchangeably,"austauschbar
"
justified,berechtigt
Kerl,"Guy
"
Kleinkind,"Toddler
"
kleinlich,"petty
"
Konnotationen,"Connotations
"
Konsens,consensus
kurzsichtig,myopic
Lagerung,"Storage
"
lifelong,"lebenslang
"
loswerden,"get rid of
"
manchmal,at times
matters,"Angelegenheiten
"
mehr,"more
"
modest,"bescheiden
"
moer,"mehr
"
natural constants,Naturkonstanten
Naturkonstanten,natural constants
newborns,"Neugeborene
"
Niederwerfen,"Throw down
"
nirgendwo,nowhere
nowhere,nirgendwo
Opfer,"victim 
"
orbit time,Umlaufzeit
originally,uhrsprünglich
ought,"sollte
"
overturn,"umstoßen
"
pathological,pathologisch
Pauschalzuschuss,"Lump sum grant
"
perfect,"vollkommen
perfekt"
"petty
",kleinlich
picking up,aufheben
plenty,reichlich
pointless,sinnlos
prospecting,"erkunden
"
prosperous,"wohlhabend
"
proud,"stolz
"
proudly,stolz
Prozessanwalt,"Trial lawyer
"
raten,guess
refused,"verweigert
"
reichlich,plenty
renovieren,"renovate
"
repariere es,fix it
scharfe Spitze,sharp point
scheinbar,seemingly
Schiefer,"Slate
"
schrecklich,"terrible
"
schwammig,vague
seemingly,scheinbar
sehr pleite,"very broke
"
sehr Programm,"very program
"
seltsam,weird
shortage,"Mangel
"
sich leisten,"afford
"
sich selbst,themselves
sinnlos,pointless
sollte,"should
"
soul,Seele
spaltend,divisive
Sporn,spur
Sporn,spurre
spur,Sporn
spurre,Sporn
stattdessen,instead
stolz,"proud
"
strengthing,stärkend
"sublime
",erhaben
subscript,tiefgestellt
suchen,"search
"
sufficient,ausreichend
superscript,hochgestellt
surrender,aufgeben
themselves,sich selbst
thickness,Dicke
tiefgestellt,subscript
toddler,"Kleinkind
"
uhrsprünglich,originally
umarmt,embraced
Umfang,scope
Umlaufzeit,orbit time
unbridgeable,unüberbrückbar
unprovoked,unprovoziert
unprovoziert,unprovoked
unter,"under
"
unüberbrückbar,unbridgeable
upon,"auf
"
Utterly,"Völlig
"
vague,"schwammig
wage"
veled,"verschleiert
"
verbessern,"improve
"
verdient,"deserved
"
Versicherung,insurance
verweigert,"denied
"
"vollkommen
perfekt",perfect
vorgeschrieben,"prescribed
"
"Wahlkapf
","election campaign
"
well,"gut
"
wer auch immer,whoever
whoever,wer auch immer
widespread,"weit verbreitet
"
workforce,"Arbeitskräfte
"
Zensur,"Censorship
"
zertifiziert,"certified
"
Äquator,Equator
