 rises dramatically,"steigt dramatisch an
"
Achillesferse,achilles heel
amount,Betrag
"Andenken
Errinerungsstück",memento
Andenken (sentimental),keepsake
andersherum,reverse
anymore,noch
"Anzeichen
Hinweis
Stichwort
",cue
Art und Weise,manner
aufgeben,surrender
Aufruhr,turmoil
Ausbrüche,bursts
ausschmücken,embellishing
barely,kaum
befürworten,ties
belästigen,to harass
"belästigen
beunruhigen
sich Mühe machen
",bother
bemerkenswert,notable
beschaffen,procure
Betrag,amount
bless,segnen
bother,"belästigen
beunruhigen
sich Mühe machen
"
boundaries,"Grenzen
Begrenzungen"
breiter,broader
broader,breiter
buddies,Kumpel
bursts,Ausbrüche
challenging,herausfordernd
"college grads
",Hochschulabsolventen
Commemoration,Commemoration
consensus,Konsens
Coronal Holes,Koronale Löcher
cue,"Anzeichen
Hinweis
Stichwort
"
danach,thereafter
demean,erniedrigen
"denkwürdig
einprägsam
",memorable
die,equal
"die Mühe
",the effort
disruptiv,disruptive
disruptive,disruptiv
disturb,stören
divisive,spaltend
effort,Anstrengung
"einmischen
stören
eingreifen",interfere
Einwand,objection
embellishing,ausschmücken
endorse,gleichermaßen
equal,die
"Erpressung
Sicherheitsüberprüfung",shake
exam,Prüfung
falsehoods,Unwahrheiten
further,weiter
"führen zu
",lead to
Gedenken,commemoration
"Gedenken
Erinnerung",Remembrance
gleichermaßen,endorse
glock,Glock (Pistole)
Glock (Pistole),glock
"Grenzen
Begrenzungen",boundaries
grievances,Beschwerden
heel,Ferse
herausfordernd,challenging
Hochschulabsolventen,"college grads
"
indulge,sich gönnen
interfere,"einmischen
stören
eingreifen"
kaum,barely
keepsake,Andenken (sentimental)
knucklehead,Dummkopf
Koronale Löcher,Coronal Holes
Kumpel,buddies
Kundgebung,rallying
lead to,"führen zu
"
manner,Art und Weise
"margin
","Marge
Rand
Spanne"
memento,"Andenken
Errinerungsstück"
Memoiren,memoirs
memoirs,Memoiren
memorable,"denkwürdig
einprägsam
"
myopic,kurzsichtig
noch,anymore
nostalgia,Nostaligie
Nostaligie,nostalgia
notable,bemerkenswert
objection,Einwand
pathologisch,pathological
plötzlich,sudden
proceeding,Verfahren
procure,beschaffen
Prüfung,exam
puffed up,aufgeblasen
rallying,Kundgebung
"Rand
Spanne","margin
"
Razzia,crackdown
recalling,sich erinnern
refer,verweisen
reißen,tearing
Remembrance,"Gedenken
Erinnerung"
reminiscence,Reminiszenz
Reminiszenz,reminiscence
resistance,Widerstand
reverse,andersherum
rise,steigen
sage es stolz,say it proudly
scharf,sharp
"schwer
ernst
heftig",severe
Seele,soul
segnen,bless
Sendung,broadcast
severe,"schwer
ernst
heftig"
shake,"Erpressung
Sicherheitsüberprüfung"
sharp,scharf
sharp point,scharfe Spitze
shut,"zu
schließen"
sich erinnern,recalling
sich gönnen,indulge
"sich rühren
",to stir
Sonnenflecken,sunspots
steigen,rise
"steigt dramatisch an
"," rises dramatically
"
strenght,Stärke
Stärke,strenght
stärkend,strengthing
stören,disturb
sudden,plötzlich
sunspots,Sonnenflecken
tearing,reißen
the effort,"die Mühe
"
thereafter,danach
ties,befürworten
Tippfehler,typo
to harass,belästigen
to stir,"sich rühren
"
to turn around,"umkehren
"
treatment,Behandlung
truly,"wirklich
tatsächlich"
turmoil,"Aufruhr
Tumult
"
typo,Tippfehler
"umkehren
",to turn around
unabhängig,unaffiliated
unaffiliated,unabhängig
"unbemannt
unbesetzt","unmanned
uncrewed"
unforgettable,unvergesslich
"unmanned
uncrewed","unbemannt
unbesetzt"
unvergesslich,unforgettable
Unwahrheiten,falsehoods
upset,verärgert
Verfahren,proceeding
verweisen,refer
verärgert,upset
weird,seltsam
weiter,further
weißer Zwerg,white dwarf star
white dwarf star,weißer Zwerg
Widerstand,resistance
"wirklich
tatsächlich",truly
"zu
schließen",shut
