zurückgeben,"to return"
Büffel,"buffalo"
Authentizität,"authenticity"
verkennen,"to misjudge"
unredlich,"dishonest"
reflektierend,"reflective"
etwaige,"any"
aufgeschlossen,"open-minded"
Resilienz,"resilience"
derlei,"such"
verjagen,"to chase away"
Akzeptanz,"acceptance"
Blase,"bubble"
Kompetenz,"competence"
ausführlich,"detailed"
Reform,"reform"
etwas waren,"to be something"
Kitt,"putty"
Unsummen,"vast sums"
gepunktet,"dotted"
vergraben,"to bury"
Umrüstung,"conversion"
Äußerung,"statement"
höchstwahrscheinlich,"most likely"
ausgeben,"to spend"
Gewehr,"rifle"
Loyalität,"loyalty"
Eckpfeiler,"cornerstone"
Einzeiler,"one-liner"
Hügel,"hill"
redlich,"honest"
Gnu,"gnu"
schrauben,"to screw"
verwirklichen,"to realize"
Nashorn,"rhinoceros"
etwas unterhalten,"to maintain something"
Lesezeichen,"bookmark"
Anliegen,"concern"
Epigenetik,"epigenetics"
Reißverschluss,"zipper"
Made,"maggot"
Aufstrich,"spread"
rasant,"rapid"
einigermaßen,"somewhat"
vorsorglich,"precautionary"
Übergang,"transition"
Tüll,"tulle"
zulassen,"to allow"
Kehle,"throat"
Beschichtung,"coating"
Mantel,"coat"
schlüpfen,"to hatch"
fürsorglich,"caring"
Geld eintreiben,"to collect money"
bekennen,"to confess"
Pickel,"pimple"
Anhängsel,"appendage"
angenommen,"assumed"
Souveränität,"sovereignty"
Duell,"duel"
Scheitel,"parting"
Aufsatz,"essay"
Schulden,"debts"
Befall,"infestation"
Abkommen,"agreement"
stocken,"to stagnate"
Hintergedanken,"ulterior motive"
Rentier,"reindeer"
Brotbox,"lunchbox"
Neuordnung,"reorganization"
ausgesprochen,"pronounced"
Ansturm,"onslaught"
bizarr,"bizarre"
stopfen,"to stuff"
unzählig,"countless"
Schwerpunkt,"focus"
Evidenz,"evidence"
Umsatz,"turnover"
verhüllen,"to veil"
Feuerwerkskörper,"firework"
zurechtkommen,"to cope"
Kehlkopf,"larynx"
implizieren,"to imply"
huldvoll,"gracious"
brummen,"to hum"
Gitter,"grid"
etwas treiben,"to drive something"
verlässlich,"reliable"
verblüfft,"amazed"
Rückspiegel,"rearview mirror"
Zebra,"zebra"
überschreiten,"to exceed"
schade,"pity"
die Zeit selbst,"time itself"
Sattel,"saddle"
Zahnspange,"braces"
vernünftig,"reasonable"
schnappen,"to snap"
Absatz,"paragraph"
Klappe,"flap"
to return,"zurückgeben"
buffalo,"Büffel"
authenticity,"Authentizität"
to misjudge,"verkennen"
dishonest,"unredlich"
reflective,"reflektierend"
any,"etwaige"
open-minded,"aufgeschlossen"
resilience,"Resilienz"
such,"derlei"
to chase away,"verjagen"
acceptance,"Akzeptanz"
bubble,"Blase"
competence,"Kompetenz"
detailed,"ausführlich"
reform,"Reform"
to be something,"etwas waren"
putty,"Kitt"
vast sums,"Unsummen"
dotted,"gepunktet"
to bury,"vergraben"
conversion,"Umrüstung"
statement,"Äußerung"
most likely,"höchstwahrscheinlich"
to spend,"ausgeben"
rifle,"Gewehr"
loyalty,"Loyalität"
cornerstone,"Eckpfeiler"
one-liner,"Einzeiler"
hill,"Hügel"
honest,"redlich"
gnu,"Gnu"
to screw,"schrauben"
to realize,"verwirklichen"
rhinoceros,"Nashorn"
to maintain something,"etwas unterhalten"
bookmark,"Lesezeichen"
concern,"Anliegen"
epigenetics,"Epigenetik"
zipper,"Reißverschluss"
maggot,"Made"
spread,"Aufstrich"
rapid,"rasant"
somewhat,"einigermaßen"
precautionary,"vorsorglich"
transition,"Übergang"
tulle,"Tüll"
to allow,"zulassen"
throat,"Kehle"
coating,"Beschichtung"
coat,"Mantel"
to hatch,"schlüpfen"
caring,"fürsorglich"
to collect money,"Geld eintreiben"
to confess,"bekennen"
pimple,"Pickel"
appendage,"Anhängsel"
assumed,"angenommen"
sovereignty,"Souveränität"
duel,"Duell"
parting,"Scheitel"
essay,"Aufsatz"
debts,"Schulden"
infestation,"Befall"
agreement,"Abkommen"
to stagnate,"stocken"
ulterior motive,"Hintergedanken"
reindeer,"Rentier"
lunchbox,"Brotbox"
reorganization,"Neuordnung"
pronounced,"ausgesprochen"
onslaught,"Ansturm"
bizarre,"bizarr"
to stuff,"stopfen"
countless,"unzählig"
focus,"Schwerpunkt"
evidence,"Evidenz"
turnover,"Umsatz"
to veil,"verhüllen"
firework,"Feuerwerkskörper"
to cope,"zurechtkommen"
larynx,"Kehlkopf"
to imply,"implizieren"
gracious,"huldvoll"
to hum,"brummen"
grid,"Gitter"
to drive something,"etwas treiben"
reliable,"verlässlich"
amazed,"verblüfft"
rearview mirror,"Rückspiegel"
zebra,"Zebra"
to exceed,"überschreiten"
pity,"schade"
time itself,"die Zeit selbst"
saddle,"Sattel"
braces,"Zahnspange"
reasonable,"vernünftig"
to snap,"schnappen"
paragraph,"Absatz"
flap,"Klappe"
